name,version,publisher,install_location,uninstall_string,source
WinRAR 6.22 (64 bit),6.22.0,win.rar GmbH,C:\Program Files\WinRAR\,C:\Program Files\WinRAR\uninstall.exe,registry
WinRT Intellisense Desktop - en-us,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{09DF0CB1-7ED5-524F-A208-A121D90026F2},registry
WinRT Intellisense Desktop - en-us,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{01933586-56BC-4722-D8AB-59F2A24C90EE},registry
WinRT Intellisense Desktop - Other Languages,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{F5F3B189-4127-3630-A818-EDA53B73AB63},registry
WinRT Intellisense Desktop - Other Languages,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{1495FD11-8AEB-75CA-4447-1C1CE340C630},registry
WinRT Intellisense IoT - en-us,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{4FB9BC8B-7686-D7EF-36C3-CAC0D97B5C9B},registry
WinRT Intellisense IoT - en-us,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{C33A7DAA-9B59-467D-2C7C-08527F7B93D5},registry
WinRT Intellisense IoT - Other Languages,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{C35E2C10-133A-BA91-B44E-890B88561421},registry
WinRT Intellisense IoT - Other Languages,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{1EA346E3-BEBF-94FA-B36C-FD6AD9B187CC},registry
WinRT Intellisense Mobile - en-us,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{D2BB0F30-BAED-4B44-5DBA-4D34B6068C51},registry
WinRT Intellisense Mobile - en-us,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{00CD7BFC-A0C3-FBB2-2FA6-0BA72E4B6EE2},registry
WinRT Intellisense PPI - en-us,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{55D6DA01-BE83-67C7-346E-043EA81DC932},registry
WinRT Intellisense PPI - en-us,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{D141A569-DA59-20E2-EE50-A78544B46042},registry
WinRT Intellisense PPI - Other Languages,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{00406D62-A9D1-3A17-5808-B92632721F1C},registry
WinRT Intellisense PPI - Other Languages,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{A11709BB-020F-9FD8-58B9-D61FB8F7A0BB},registry
WinRT Intellisense UAP - en-us,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{398A9EE2-B2AF-DC5B-19D0-B6093A861C5A},registry
WinRT Intellisense UAP - en-us,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{5C6BB60F-A809-2673-25D3-7E868F59D219},registry
WinRT Intellisense UAP - Other Languages,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{D4B99AF4-7C7B-6638-CBB0-88259288C0E1},registry
WinRT Intellisense UAP - Other Languages,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{3F2B7565-3751-D3E4-24C5-B3C9FF4CC22B},registry
Wireshark 4.6.5 x64,4.6.5,"The Wireshark developer community, https://www.wireshark.org",C:\Program Files\Wireshark,"""C:\Program Files\Wireshark\uninstall-wireshark.exe"" /S",registry
wkhtmltox 0.12.6-1,,,,"""C:\Program Files\wkhtmltopdf\uninstall.exe""",registry
WPT Redistributables,10.1.26100.7175,Microsoft,,MsiExec.exe /I{FFE2BDF2-2A4B-8166-B121-F5FFADBA0144},registry
WPTx64 (DesktopEditions),10.1.26100.7175,Microsoft,,MsiExec.exe /I{A0506B2C-67FD-766E-B170-98BF4AE7349A},registry
WPTx64 (OnecoreUAP),10.1.26100.7175,Microsoft,,MsiExec.exe /I{84A1B407-9CE0-47CC-54DA-9C556EE171B7},registry
XAMPP,8.2.12-0,Apache Friends,C:\xampp,"""C:\xampp\uninstall.exe""",registry
xDB Replication Server 6.2.19,6.2.19-1,EnterpriseDB,C:\Program Files (x86)\PostgreSQL\EnterpriseDB-xDBReplicationServer,"""C:\Program Files (x86)\PostgreSQL\EnterpriseDB-xDBReplicationServer\uninstall-xdbreplicationserver.exe""",registry
xDB Replication Server 7.7.0,7.7.0-1,EnterpriseDB,C:\Program Files\edb\EnterpriseDB-xDBReplicationServer,"""C:\Program Files\edb\EnterpriseDB-xDBReplicationServer\uninstall-xdbreplicationserver.exe""",registry
Zotero,9.0.3,Corporation for Digital Scholarship,C:\Program Files\Zotero,C:\Program Files\Zotero\uninstall\helper.exe,registry
